Word,Count
A,16962
AAAND,2
AAAUU,2
AAE,1
AAH,3
AARHUS,1
AARON,6
AB,1
ABACK,1
ABAIXO,1
ABANDONED,8
ABANDONNENT,1
ABBEEL,1
ABBREVIATED,1
ABBY,2
ABDSC,4
ABHISHEK,4
ABI,1
ABILITIES,26
ABILITY,174
ABLATION,2
ABLE,392
ABLITY,1
ABNORMAL,2
ABNORMALITIES,1
ABNORMALLY,1
ABOARD,1
ABORNING,1
ABORTION,2
ABOUND,1
ABOUT,1731
ABOUTISSE,1
ABOVE,413
ABRA,3
ABRAHAMS,1
ABRASION,1
ABRE,1
ABRIDGED,3
ABROAD,2
ABRUPTLY,6
ABS,3
ABSENCE,1
ABSENT,7
ABSOLUMENT,2
ABSOLUTE,16
ABSOLUTELY,40
ABSORB,4
ABSORBED,3
ABSORBS,2
ABSTRACT,69
ABSTRACTED,4
ABSTRACTING,5
ABSTRACTION,28
ABSTRACTIONS,23
ABSTRACTLY,3
ABSTRUSE,1
ABSURD,4
ABSURDITY,4
ABU,11
ABUNDANCE,4
ABUSIVE,1
ABUZZ,1
ABYSMALLY,1
AC,11
ACADEMIA,30
ACADEMIC,21
ACADEMICALLY,1
ACADEMICIANS,3
ACADEMICS,9
ACADEMY,4
ACCE,3
ACCELERATE,14
ACCELERATED,4
ACCELERATING,6
ACCELERATION,12
ACCELERATOR,4
ACCELERATORS,2
ACCELEROMETER,1
ACCELEROMETERS,1
ACCENT,6
ACCENTS,4
ACCEPT,27
ACCEPTABLE,18
ACCEPTABLY,1
ACCEPTANCE,12
ACCEPTANCES,3
ACCEPTE,1
ACCEPTED,11
ACCEPTING,6
ACCEPTS,2
ACCESS,147
ACCESSED,2
ACCESSES,4
ACCESSIBILITY,1
ACCESSIBLE,36
ACCESSING,8
ACCESSORIES,2
ACCESSORY,1
ACCIDENT,6
ACCIDENTAL,3
ACCIDENTALLY,3
ACCIDENTS,7
ACCOMMODATE,6
ACCOMMODATED,1
ACCOMMODATES,1
ACCOMMODATING,1
ACCOMMODATION,10
ACCOMMODE,1
ACCOMPAGNATEURS,1
ACCOMPANIED,4
ACCOMPANYING,4
ACCOMPLISH,8
ACCOMPLISHED,18
ACCOMPLISHING,1
ACCOMPLISHMENT,4
ACCOMPLISHMENTS,5
ACCORDANCE,2
ACCORDING,73
ACCORDINGLY,22
ACCOUNT,83
ACCOUNTABILITY,1
ACCOUNTANTS,1
ACCOUNTED,6
ACCOUNTS,18
ACCUEILLE,1
ACCUMULATE,6
ACCUMULATED,5
ACCUMULATES,1
ACCUMULATING,3
ACCUMULATION,2
ACCUMULATIONS,2
ACCURACIES,1
ACCURACY,197
ACCURATE,93
ACCURATELY,22
ACCUSED,2
ACCUSTOM,2
ACCUSTOMED,1
ACE,3
ACHED,1
ACHIEVABLE,3
ACHIEVE,111
ACHIEVED,38
ACHIEVEMENT,21
ACHIEVEMENTS,7
ACHIEVERS,1
ACHIEVES,24
ACHIEVING,18
ACHING,1
ACID,1
ACKNOWLEDGE,10
ACKNOWLEDGED,1
ACKNOWLEDGEMENTS,3
ACKNOWLEDGES,1
ACLARAR,1
ACLWEB,3
ACM,7
ACOLYTE,4
ACOUSTIC,1
ACQUIERT,1
ACQUIHIRE,8
ACQUIHIRES,2
ACQUIRE,12
ACQUIRED,23
ACQUIRER,2
ACQUIRERS,2
ACQUIRES,1
ACQUIRING,3
ACQUISITION,11
ACQUISITIONS,3
ACRONYM,10
ACRONYMS,1
ACROSS,153
ACT,58
ACTED,9
ACTIFS,1
ACTING,25
ACTION,260
ACTIONABLE,4
ACTIONS,169
ACTIVATE,16
ACTIVATED,30
ACTIVATES,4
ACTIVATING,3
ACTIVATION,175
ACTIVATIONS,49
ACTIVE,25
ACTIVELY,12
ACTIVIST,1
ACTIVITIES,29
ACTIVITY,23
ACTON,2
ACTOR,27
ACTORS,24
ACTRESS,4
ACTS,17
ACTUAL,117
ACTUALITY,3
ACTUALLY,320
ACTUATORS,1
ACUITY,4
ACUTE,1
ACYCLIC,1
AD,28
ADA,4
ADABOOST,3
ADADELTA,1
ADAGE,4
ADAGRAD,4
ADAM,29
ADAMS,1
ADAPT,25
ADAPTATION,6
ADAPTED,7
ADAPTING,5
ADAPTIVE,14
ADAPTIVELY,2
ADAPTS,6
ADATAO,2
ADD,197
ADDED,101
ADDICT,3
ADDICTED,2
ADDICTION,3
ADDICTIVE,5
ADDING,103
ADDITION,51
ADDITIONAL,72
ADDITIONALLY,23
ADDITIONS,10
ADDITIVE,2
ADDRESS,35
ADDRESSED,28
ADDRESSES,9
ADDRESSING,4
ADDS,26
ADEMA,2
ADEPT,7
ADEPTES,1
ADEQUATE,6
ADEQUATELY,6
ADGORITHMS,1
ADHERE,1
ADHERING,2
ADHOC,1
ADJACENT,11
ADJECTIVES,6
ADJUNCT,5
ADJUST,35
ADJUSTABLE,1
ADJUSTED,13
ADJUSTING,26
ADJUSTMENT,12
ADJUSTMENTS,6
ADJUSTS,1
ADMIN,2
ADMINISTERING,2
ADMINISTRATION,10
ADMINISTRATIVE,3
ADMINISTRATOR,2
ADMINISTRATORS,2
ADMIRE,2
ADMIRED,1
ADMISSIONS,2
ADMIT,6
ADMITS,2
ADMITTEDLY,6
ADMITTING,2
ADO,4
ADOBE,1
ADOLESCENCE,6
ADOPT,13
ADOPTED,8
ADOPTERS,3
ADOPTING,4
ADOPTION,18
ADORABLE,6
ADS,29
ADTECH,1
ADULT,8
ADULTHOOD,1
ADULTS,2
ADVANCE,16
ADVANCED,74
ADVANCEMENT,6
ADVANCEMENTS,22
ADVANCES,52
ADVANCING,10
ADVANTAGE,115
ADVANTAGED,1
ADVANTAGEOUS,10
ADVANTAGES,27
ADVENT,19
ADVENTURE,3
ADVENTURES,2
ADVERSARIAL,36
ADVERSARY,5
ADVERTISEMENT,2
ADVERTISEMENTS,3
ADVERTISERS,4
ADVERTISES,4
ADVERTISING,13
ADVICE,27
ADVICES,1
ADVIENT,1
ADVISE,5
ADVISER,1
ADVISES,3
ADVISING,7
ADVISOR,4
ADVISORS,4
ADVISORY,4
ADVOCACY,2
ADVOCATE,3
ADVOCATES,4
AERIAL,9
AEROSOLVE,1
AEROSPACE,1
AESTHETIC,4
AESTHETICALLY,4
AESTHETICS,3
AETHER,1
AFFAIR,2
AFFAIRS,17
AFFECT,24
AFFECTED,3
AFFECTING,2
AFFECTIONATE,1
AFFECTIONATELY,1
AFFECTIVE,12
AFFECTLESS,3
AFFECTS,9
AFFILIATE,7
AFFILIATED,8
AFFILIATES,1
AFFINE,4
AFFIRM,4
AFFIRMATIVELY,4
AFFIRMED,1
AFFIRMER,1
AFFORD,9
AFFORDABLE,5
AFFORDANCES,2
AFFORDED,2
AFFORDING,1
AFGHAN,2
AFIB,3
AFIN,3
AFOREMENTIONED,12
AFRAID,10
AFRICA,4
AFRICAN,5
AFTER,470
AFTERLIFE,1
AFTERNOON,7
AFTERNOONS,8
AFTERS,2
AFTERSCHOOL,1
AFTERTHOUGHT,2
AFTERWARD,4
AFTERWARDS,11
AGAIN,207
AGAINST,96
AGE,83
AGED,1
AGEITGEY,16
AGENCIES,3
AGENCY,7
AGENDA,14
AGENDAS,2
AGENT,134
AGENTS,82
AGENTUR,1
AGES,17
AGG,1
AGGLOMERATE,1
AGGLOMERATIVE,1
AGGREGATE,6
AGGREGATED,5
AGGREGATING,2
AGGREGATION,4
AGGREGATIONS,9
AGGRESSIVE,7
AGGRESSIVELY,2
AGGRESSIVITY,1
AGI,43
AGILE,5
AGING,1
AGIR,2
AGIT,1
AGO,88
AGPL,1
AGRADECEMOS,1
AGREE,30
AGREEABLE,3
AGREED,6
AGREEING,2
AGREEMENT,7
AGREEMENTS,2
AGREES,1
AGREGAR,1
AGRICULTURE,5
AGU,12
AGUERA,4
AH,9
AHEAD,38
AHMED,1
AHN,1
AHOLD,1
AI,1222
AIAAS,2
AIANDGAMES,4
AID,12
AIDED,1
AIDER,1
AIDS,11
AILMENTS,1
AIM,15
AIMED,11
